CNPJ_FUNDO,DIAS_OPERADOS,RETORNO_MEDIO_DIARIO,VOLATILIDADE_RISCO
04.128.522/0001-24,102,0.000233096801,0.003747443128
09.319.052/0001-08,102,-0.010619078014,0.08569271061
21.470.989/0001-77,102,0.000300158169,0.002415648774
35.343.836/0001-73,102,-0.000310010123,0.003707195301
00.824.198/0001-28,102,0.000450141773,1.824828759e-05
31.690.473/0001-91,102,0.000333195569,0.01264642357
10.326.625/0001-00,102,0.000296666747,0.0006908118412
35.535.700/0001-65,102,0.001162377898,0.008920548021
39.401.067/0001-73,102,0.000480023202,0.006330256867
08.960.971/0001-95,102,0.000507235051,2.080865205e-05
38.252.499/0001-05,102,0.000489686375,0.002450727647
14.866.273/0001-28,102,0.001125799222,0.01475955612
44.101.546/0001-04,102,0.000005605146,0.003917889866
36.854.581/0001-76,102,0.000536158930,0.0002114308398
29.186.331/0001-40,102,0.000544893583,0.0002834290035
04.525.916/0001-16,102,0.000503255681,1.46628783e-05
34.780.375/0001-33,102,0.000174966030,0.002496728259
34.887.306/0001-23,102,0.000307647161,0.002009555423
10.243.362/0001-67,102,0.000455750143,6.715653356e-05
73.899.759/0001-21,102,0.000208473301,0.01189735403
06.015.361/0001-98,102,0.000115996077,0.001625326121
48.554.248/0001-20,102,0.000814364349,0.00401019214
07.593.967/0001-73,102,0.000417958787,0.0006000408319
32.683.878/0001-65,102,-0.000787646964,0.009267506515
30.658.606/0001-80,102,0.000377882012,0.003643031567
37.591.185/0001-66,102,0.000765862336,0.008439882523
31.353.693/0001-20,102,0.000247290896,0.002945730809
